date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:03	39912/39912	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/selectize.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/selectize.min982a.js	(from http://marianodigabriele.com/)
10:01:05	1640/1640	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.parallax.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/jquery.parallax982a.js	(from http://marianodigabriele.com/)
10:01:08	13420/13420	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	http://marianodigabriele.com/wp-includes/js/jquery/ui/effect.min.js?ver=1.11.4	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-includes/js/jquery/ui/effect.mine899.js	(from http://marianodigabriele.com/)
10:01:11	26654/26654	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/lazysizes.min.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/lazysizes.min982a.js	(from http://marianodigabriele.com/)
10:01:15	47585/47585	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2000:48:45%20GMT	http://marianodigabriele.com/wp-content/themes/the-core-parent/js/general.js?ver=1.0.23	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/themes/the-core-parent/js/general982a.js	(from http://marianodigabriele.com/)
10:01:18	7388/7388	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/core.js?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/core55fe.js	(from http://marianodigabriele.com/)
10:01:21	1381/1381	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/transition.js?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/transition55fe.js	(from http://marianodigabriele.com/)
10:01:23	6741/6741	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/background.js?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/background55fe.js	(from http://marianodigabriele.com/)
10:01:25	385/385	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2000:39:20%20GMT	http://marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/background.init.js?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/js/background.init55fe.js	(from http://marianodigabriele.com/)
10:01:28	1398/1398	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202016%2013:38:33%20GMT	http://marianodigabriele.com/wp-includes/js/wp-embed.min.js?ver=4.9.5	/Users/xbw881/websites/mariano/marianodigabriele.com/wp-includes/js/wp-embed.min55fe.js	(from http://marianodigabriele.com/)
